Snail.ID	size	species	time.emerge	Trial	time	x	y
C	2	native	17	dry	270	-0.8	-1.6
C	2	native	17	dry	280	-0.8	-1.8
C	2	native	17	dry	290	-0.9	-2.1
C	2	native	17	dry	300	-0.9	-2.3
C	2	native	17	wet	0	0	0
C	2	native	17	wet	10	0	0
C	2	native	17	wet	20	0.1	0
C	2	native	17	wet	30	0.1	0
C	2	native	17	wet	40	0.1	0
C	2	native	17	wet	50	0.1	-0.1
C	2	native	17	wet	60	0.1	-0.2
C	2	native	17	wet	70	0.1	-0.3
C	2	native	17	wet	80	0	-0.4
C	2	native	17	wet	90	0.1	-0.4
C	2	native	17	wet	100	0.1	-0.4
C	2	native	17	wet	110	0.1	-0.4
C	2	native	17	wet	120	0.1	-0.4
C	2	native	17	wet	130	0.1	-0.3
C	2	native	17	wet	140	0.1	-0.3
C	2	native	17	wet	150	0.1	-0.4
C	2	native	17	wet	160	0.1	-0.3
C	2	native	17	wet	170	0.1	-0.3
C	2	native	17	wet	180	0.2	-0.4
C	2	native	17	wet	190	0.2	-0.4
C	2	native	17	wet	200	0	-0.5
C	2	native	17	wet	210	0	-0.4
C	2	native	17	wet	220	0	-0.4
C	2	native	17	wet	230	0.1	-0.4
C	2	native	17	wet	240	0.1	-0.4
C	2	native	17	wet	250	0	-0.5
C	2	native	17	wet	260	0	-0.5
C	2	native	17	wet	270	-0.1	-0.7
C	2	native	17	wet	280	-0.1	-1
C	2	native	17	wet	290	-0.1	-1.1
C	2	native	17	wet	300	0	-1.3
7	2.1	native	15	dry	0	0	0
7	2.1	native	15	dry	10	0	0
7	2.1	native	15	dry	20	0	0
7	2.1	native	15	dry	30	0	0
7	2.1	native	15	dry	40	0	0
7	2.1	native	15	dry	50	0	0.1
7	2.1	native	15	dry	60	0.5	0.1
7	2.1	native	15	dry	70	0.8	0.6
7	2.1	native	15	dry	80	0.7	0.9
7	2.1	native	15	dry	90	0.1	1.2
7	2.1	native	15	dry	100	0	1.5
7	2.1	native	15	dry	110	0.2	1.7
7	2.1	native	15	dry	120	0.2	1.7
7	2.1	native	15	dry	130	0.3	1.6
